Sales,Date,Region
1767.0,2018-04-04,North
1761.0,2018-04-04,South
1566.0,2018-04-04,East
1623.0,2018-04-04,West
1506.0,2018-04-05,North
1512.0,2018-04-05,South
1692.0,2018-04-05,East
1749.0,2018-04-05,West
1515.0,2018-04-06,West
1632.0,2018-04-06,East
1701.0,2018-04-06,North
1752.0,2018-04-06,South
1725.0,2018-04-07,North
1611.0,2018-04-07,South
1788.0,2018-04-07,East
1617.0,2018-04-07,West
1656.0,2018-04-08,North
1674.0,2018-04-08,South
1557.0,2018-04-08,East
1701.0,2018-04-08,West
1557.0,2018-04-09,West
1641.0,2018-04-09,East
1782.0,2018-04-09,South
1686.0,2018-04-09,North
1686.0,2018-04-10,North
1527.0,2018-04-10,South
1698.0,2018-04-10,East
1728.0,2018-04-10,West
1764.0,2018-04-11,West
1671.0,2018-04-11,North
1527.0,2018-04-11,South
1581.0,2018-04-11,East
1749.0,2018-04-12,West
1782.0,2018-04-12,East
1653.0,2018-04-12,North
1626.0,2018-04-12,South
1749.0,2018-04-13,West
1539.0,2018-04-13,North
1752.0,2018-04-13,South
1674.0,2018-04-13,East
1674.0,2018-04-14,East
1638.0,2018-04-14,West
1569.0,2018-04-14,North
1794.0,2018-04-14,South
1653.0,2018-04-15,West
1602.0,2018-04-15,East
1527.0,2018-04-15,South
1515.0,2018-04-15,North
1602.0,2018-04-16,North
1707.0,2018-04-16,South
1548.0,2018-04-16,East
1527.0,2018-04-16,West
1599.0,2018-04-17,North
1728.0,2018-04-17,South
1704.0,2018-04-17,East
1539.0,2018-04-17,West
1719.0,2018-04-18,West
1515.0,2018-04-18,East
1545.0,2018-04-18,North
1797.0,2018-04-18,South
1713.0,2018-04-19,North
1674.0,2018-04-19,South
1767.0,2018-04-19,East
1767.0,2018-04-19,West
1668.0,2018-04-20,North
1620.0,2018-04-20,South
1677.0,2018-04-20,East
1509.0,2018-04-20,West
1578.0,2018-04-21,West
1644.0,2018-04-21,East
1683.0,2018-04-21,North
1743.0,2018-04-21,South
1572.0,2018-04-22,North
1545.0,2018-04-22,South
1557.0,2018-04-22,East
1626.0,2018-04-22,West
1710.0,2018-04-23,North
1659.0,2018-04-23,South
1665.0,2018-04-23,East
1521.0,2018-04-23,West
1503.0,2018-04-24,North
1650.0,2018-04-24,South
1689.0,2018-04-24,East
1743.0,2018-04-24,West
1758.0,2018-04-25,East
1557.0,2018-04-25,West
1623.0,2018-04-25,North
1503.0,2018-04-25,South
1563.0,2018-04-26,West
1740.0,2018-04-26,East
1734.0,2018-04-26,South
1713.0,2018-04-26,North
1716.0,2018-04-27,North
1791.0,2018-04-27,South
1674.0,2018-04-27,East
1716.0,2018-04-27,West
1632.0,2018-04-28,North
1641.0,2018-04-28,South
1584.0,2018-04-28,East
1590.0,2018-04-28,West
1638.0,2018-04-29,West
1740.0,2018-04-29,East
1713.0,2018-04-29,North
1593.0,2018-04-29,South
1653.0,2018-04-30,North
1590.0,2018-04-30,South
1593.0,2018-04-30,East
1602.0,2018-04-30,West
1506.0,2018-05-01,East
1536.0,2018-05-01,West
1764.0,2018-05-01,South
1785.0,2018-05-01,North
1623.0,2018-05-02,North
1674.0,2018-05-02,South
1791.0,2018-05-02,East
1653.0,2018-05-02,West
1785.0,2018-05-03,North
1569.0,2018-05-03,South
1500.0,2018-05-03,East
1770.0,2018-05-03,West
1629.0,2018-05-04,West
1653.0,2018-05-04,North
1590.0,2018-05-04,South
1671.0,2018-05-04,East
1575.0,2018-05-05,East
1587.0,2018-05-05,West
1578.0,2018-05-05,North
1665.0,2018-05-05,South
1719.0,2018-05-06,East
1617.0,2018-05-06,West
1674.0,2018-05-06,North
1785.0,2018-05-06,South
1728.0,2018-05-07,East
1740.0,2018-05-07,West
1794.0,2018-05-07,North
1563.0,2018-05-07,South
1635.0,2018-05-08,West
1728.0,2018-05-08,East
1650.0,2018-05-08,South
1617.0,2018-05-08,North
1584.0,2018-05-09,North
1647.0,2018-05-09,South
1551.0,2018-05-09,East
1512.0,2018-05-09,West
1515.0,2018-05-10,East
1716.0,2018-05-10,West
1737.0,2018-05-10,North
1551.0,2018-05-10,South
1746.0,2018-05-11,North
1677.0,2018-05-11,South
1584.0,2018-05-11,East
1617.0,2018-05-11,West
1578.0,2018-05-12,West
1743.0,2018-05-12,North
1533.0,2018-05-12,South
1521.0,2018-05-12,East
1665.0,2018-05-13,East
1644.0,2018-05-13,West
1545.0,2018-05-13,North
1713.0,2018-05-13,South
1776.0,2018-05-14,North
1560.0,2018-05-14,South
1644.0,2018-05-14,East
1503.0,2018-05-14,West
1800.0,2018-05-15,North
1758.0,2018-05-15,South
1701.0,2018-05-15,East
1671.0,2018-05-15,West
1629.0,2018-05-16,West
1626.0,2018-05-16,East
1617.0,2018-05-16,South
1593.0,2018-05-16,North
1728.0,2018-05-17,North
1506.0,2018-05-17,South
1590.0,2018-05-17,East
1626.0,2018-05-17,West
1509.0,2018-05-18,West
1782.0,2018-05-18,North
1572.0,2018-05-18,South
1539.0,2018-05-18,East
1626.0,2018-05-19,East
1629.0,2018-05-19,West
1788.0,2018-05-19,North
1713.0,2018-05-19,South
1548.0,2018-05-20,North
1716.0,2018-05-20,South
1752.0,2018-05-20,East
1638.0,2018-05-20,West
1575.0,2018-05-21,North
1671.0,2018-05-21,South
1626.0,2018-05-21,East
1572.0,2018-05-21,West
1521.0,2018-05-22,West
1581.0,2018-05-22,East
1572.0,2018-05-22,North
1569.0,2018-05-22,South
1641.0,2018-05-23,North
1692.0,2018-05-23,South
1713.0,2018-05-23,East
1563.0,2018-05-23,West
1524.0,2018-05-24,North
1533.0,2018-05-24,South
1695.0,2018-05-24,East
1533.0,2018-05-24,West
1644.0,2018-05-25,West
1713.0,2018-05-25,East
1665.0,2018-05-25,South
1599.0,2018-05-25,North
1776.0,2018-05-26,North
1530.0,2018-05-26,South
1650.0,2018-05-26,East
1512.0,2018-05-26,West
1629.0,2018-05-27,North
1707.0,2018-05-27,South
1521.0,2018-05-27,East
1761.0,2018-05-27,West
1800.0,2018-05-28,East
1539.0,2018-05-28,West
1659.0,2018-05-28,South
1755.0,2018-05-28,North
1713.0,2018-05-29,North
1752.0,2018-05-29,South
1629.0,2018-05-29,East
1635.0,2018-05-29,West
1674.0,2018-05-30,North
1701.0,2018-05-30,South
1614.0,2018-05-30,East
1794.0,2018-05-30,West
1620.0,2018-05-31,West
1536.0,2018-05-31,East
1659.0,2018-05-31,South
1725.0,2018-05-31,North
1794.0,2018-06-01,North
1623.0,2018-06-01,South
1665.0,2018-06-01,East
1671.0,2018-06-01,West
1752.0,2018-06-02,North
1707.0,2018-06-02,South
1797.0,2018-06-02,East
1668.0,2018-06-02,West
1680.0,2018-06-03,West
1578.0,2018-06-03,East
1503.0,2018-06-03,South
1596.0,2018-06-03,North
1608.0,2018-06-04,North
1683.0,2018-06-04,South
1572.0,2018-06-04,East
1656.0,2018-06-04,West
1713.0,2018-06-05,North
1698.0,2018-06-05,South
1557.0,2018-06-05,East
1782.0,2018-06-05,West
1659.0,2018-06-06,West
1761.0,2018-06-06,East
1695.0,2018-06-06,North
1680.0,2018-06-06,South
1518.0,2018-06-07,North
1572.0,2018-06-07,South
1785.0,2018-06-07,East
1557.0,2018-06-07,West
1719.0,2018-06-08,North
1677.0,2018-06-08,South
1695.0,2018-06-08,East
1602.0,2018-06-08,West
1773.0,2018-06-09,South
1665.0,2018-06-09,West
1782.0,2018-06-09,North
1656.0,2018-06-09,East
1578.0,2018-06-10,North
1641.0,2018-06-10,South
1737.0,2018-06-10,East
1557.0,2018-06-10,West
1698.0,2018-06-11,East
1788.0,2018-06-11,North
1677.0,2018-06-11,South
1728.0,2018-06-11,West
1542.0,2018-06-12,West
1548.0,2018-06-12,East
1776.0,2018-06-12,North
1551.0,2018-06-12,South
1683.0,2018-06-13,North
1683.0,2018-06-13,South
1572.0,2018-06-13,East
1683.0,2018-06-13,West
1761.0,2018-06-14,North
1668.0,2018-06-14,South
1599.0,2018-06-14,East
1593.0,2018-06-14,West
1593.0,2018-06-15,East
1788.0,2018-06-15,West
1623.0,2018-06-15,North
1737.0,2018-06-15,South
1659.0,2018-06-16,North
1641.0,2018-06-16,South
1575.0,2018-06-16,East
1611.0,2018-06-16,West
1626.0,2018-06-17,West
1608.0,2018-06-17,East
1530.0,2018-06-17,South
1599.0,2018-06-17,North
1635.0,2018-06-18,West
1611.0,2018-06-18,East
1530.0,2018-06-18,North
1707.0,2018-06-18,South
1593.0,2018-06-19,North
1749.0,2018-06-19,South
1623.0,2018-06-19,East
1608.0,2018-06-19,West
1665.0,2018-06-20,North
1659.0,2018-06-20,South
1734.0,2018-06-20,East
1557.0,2018-06-20,West
1542.0,2018-06-21,West
1797.0,2018-06-21,North
1587.0,2018-06-21,South
1557.0,2018-06-21,East
1686.0,2018-06-22,East
1683.0,2018-06-22,West
1743.0,2018-06-22,North
1797.0,2018-06-22,South
1566.0,2018-06-23,West
1695.0,2018-06-23,East
1554.0,2018-06-23,South
1791.0,2018-06-23,North
1563.0,2018-06-24,North
1623.0,2018-06-24,South
1530.0,2018-06-24,East
1662.0,2018-06-24,West
1650.0,2018-06-25,North
1602.0,2018-06-25,South
1548.0,2018-06-25,East
1623.0,2018-06-25,West
1629.0,2018-06-26,West
1503.0,2018-06-26,East
1728.0,2018-06-26,North
1533.0,2018-06-26,South
1581.0,2018-06-27,North
1659.0,2018-06-27,South
1707.0,2018-06-27,East
1665.0,2018-06-27,West
1563.0,2018-06-28,North
1638.0,2018-06-28,South
1692.0,2018-06-28,East
1503.0,2018-06-28,West
1779.0,2018-06-29,West
1629.0,2018-06-29,East
1686.0,2018-06-29,North
1764.0,2018-06-29,South
1554.0,2018-06-30,North
1653.0,2018-06-30,South
1515.0,2018-06-30,East
1557.0,2018-06-30,West
1554.0,2018-07-01,West
1746.0,2018-07-01,North
1671.0,2018-07-01,South
1716.0,2018-07-01,East
1671.0,2018-07-02,West
1680.0,2018-07-02,East
1695.0,2018-07-02,North
1611.0,2018-07-02,South
1623.0,2018-07-03,East
1644.0,2018-07-03,North
1638.0,2018-07-03,South
1515.0,2018-07-03,West
1572.0,2018-07-04,West
1764.0,2018-07-04,East
1587.0,2018-07-04,South
1743.0,2018-07-04,North
1752.0,2018-07-05,North
1647.0,2018-07-05,South
1575.0,2018-07-05,East
1500.0,2018-07-05,West
1758.0,2018-07-06,East
1689.0,2018-07-06,West
1743.0,2018-07-06,North
1566.0,2018-07-06,South
1776.0,2018-07-07,North
1770.0,2018-07-07,South
1695.0,2018-07-07,East
1566.0,2018-07-07,West
1761.0,2018-07-08,West
1623.0,2018-07-08,North
1776.0,2018-07-08,South
1515.0,2018-07-08,East
1542.0,2018-07-09,East
1515.0,2018-07-09,West
1623.0,2018-07-09,North
1788.0,2018-07-09,South
1794.0,2018-07-10,North
1794.0,2018-07-10,South
1755.0,2018-07-10,East
1761.0,2018-07-10,West
1605.0,2018-07-11,North
1569.0,2018-07-11,South
1638.0,2018-07-11,East
1677.0,2018-07-11,West
1719.0,2018-07-12,West
1539.0,2018-07-12,East
1593.0,2018-07-12,North
1500.0,2018-07-12,South
1749.0,2018-07-13,North
1596.0,2018-07-13,South
1680.0,2018-07-13,East
1509.0,2018-07-13,West
1620.0,2018-07-14,East
1500.0,2018-07-14,North
1653.0,2018-07-14,South
1575.0,2018-07-14,West
1539.0,2018-07-15,West
1698.0,2018-07-15,East
1713.0,2018-07-15,South
1737.0,2018-07-15,North
1773.0,2018-07-16,North
1707.0,2018-07-16,South
1554.0,2018-07-16,East
1515.0,2018-07-16,West
1551.0,2018-07-17,North
1566.0,2018-07-17,South
1788.0,2018-07-17,East
1614.0,2018-07-17,West
1659.0,2018-07-18,West
1530.0,2018-07-18,East
1704.0,2018-07-18,North
1656.0,2018-07-18,South
1620.0,2018-07-19,North
1725.0,2018-07-19,South
1704.0,2018-07-19,East
1527.0,2018-07-19,West
1731.0,2018-07-20,North
1761.0,2018-07-20,South
1644.0,2018-07-20,East
1653.0,2018-07-20,West
1656.0,2018-07-21,West
1662.0,2018-07-21,East
1725.0,2018-07-21,North
1698.0,2018-07-21,South
1608.0,2018-07-22,North
1773.0,2018-07-22,South
1659.0,2018-07-22,East
1647.0,2018-07-22,West
1629.0,2018-07-23,West
1638.0,2018-07-23,North
1623.0,2018-07-23,South
1719.0,2018-07-23,East
1557.0,2018-07-24,West
1752.0,2018-07-24,East
1701.0,2018-07-24,North
1725.0,2018-07-24,South
1533.0,2018-07-25,East
1500.0,2018-07-25,North
1707.0,2018-07-25,South
1737.0,2018-07-25,West
1521.0,2018-07-26,West
1551.0,2018-07-26,East
1767.0,2018-07-26,South
1605.0,2018-07-26,North
1659.0,2018-07-27,North
1611.0,2018-07-27,South
1695.0,2018-07-27,East
1632.0,2018-07-27,West
1596.0,2018-07-28,East
1743.0,2018-07-28,West
1515.0,2018-07-28,North
1584.0,2018-07-28,South
1791.0,2018-07-29,North
1599.0,2018-07-29,South
1749.0,2018-07-29,East
1755.0,2018-07-29,West
1776.0,2018-07-30,West
1755.0,2018-07-30,North
1662.0,2018-07-30,South
1509.0,2018-07-30,East
1548.0,2018-07-31,East
1578.0,2018-07-31,West
1695.0,2018-07-31,North
1707.0,2018-07-31,South
1563.0,2018-08-01,North
1674.0,2018-08-01,South
1554.0,2018-08-01,East
1665.0,2018-08-01,West
1527.0,2018-08-02,North
1617.0,2018-08-02,South
1548.0,2018-08-02,East
1671.0,2018-08-02,West
1668.0,2018-08-03,West
1719.0,2018-08-03,East
1671.0,2018-08-03,South
1668.0,2018-08-03,North
1536.0,2018-08-04,North
1734.0,2018-08-04,South
1743.0,2018-08-04,East
1776.0,2018-08-04,West
1773.0,2018-08-05,West
1650.0,2018-08-05,North
1599.0,2018-08-05,South
1614.0,2018-08-05,East
1554.0,2018-08-06,East
1788.0,2018-08-06,West
1611.0,2018-08-06,North
1605.0,2018-08-06,South
1551.0,2018-08-07,East
1626.0,2018-08-07,West
1566.0,2018-08-07,North
1560.0,2018-08-07,South
1617.0,2018-08-08,West
1506.0,2018-08-08,East
1539.0,2018-08-08,South
1665.0,2018-08-08,North
1797.0,2018-08-09,North
1794.0,2018-08-09,South
1620.0,2018-08-09,East
1683.0,2018-08-09,West
1701.0,2018-08-10,East
1785.0,2018-08-10,West
1620.0,2018-08-10,North
1554.0,2018-08-10,South
1689.0,2018-08-11,North
1650.0,2018-08-11,South
1533.0,2018-08-11,East
1587.0,2018-08-11,West
1743.0,2018-08-12,West
1509.0,2018-08-12,North
1743.0,2018-08-12,South
1719.0,2018-08-12,East
1638.0,2018-08-13,East
1611.0,2018-08-13,West
1701.0,2018-08-13,North
1629.0,2018-08-13,South
1623.0,2018-08-14,North
1635.0,2018-08-14,South
1716.0,2018-08-14,East
1707.0,2018-08-14,West
1602.0,2018-08-15,North
1542.0,2018-08-15,South
1800.0,2018-08-15,East
1734.0,2018-08-15,West
1770.0,2018-08-16,West
1743.0,2018-08-16,East
1614.0,2018-08-16,South
1788.0,2018-08-16,North
1776.0,2018-08-17,North
1713.0,2018-08-17,South
1623.0,2018-08-17,East
1752.0,2018-08-17,West
1713.0,2018-08-18,West
1527.0,2018-08-18,North
1776.0,2018-08-18,South
1689.0,2018-08-18,East
1701.0,2018-08-19,East
1575.0,2018-08-19,West
1509.0,2018-08-19,North
1575.0,2018-08-19,South
1581.0,2018-08-20,North
1779.0,2018-08-20,South
1662.0,2018-08-20,East
1506.0,2018-08-20,West
1794.0,2018-08-21,North
1659.0,2018-08-21,South
1644.0,2018-08-21,East
1707.0,2018-08-21,West
1800.0,2018-08-22,West
1539.0,2018-08-22,East
1704.0,2018-08-22,North
1500.0,2018-08-22,South
1557.0,2018-08-23,North
1554.0,2018-08-23,South
1788.0,2018-08-23,East
1563.0,2018-08-23,West
1548.0,2018-08-24,North
1560.0,2018-08-24,South
1734.0,2018-08-24,East
1644.0,2018-08-24,West
1515.0,2018-08-25,West
1764.0,2018-08-25,East
1677.0,2018-08-25,South
1629.0,2018-08-25,North
1542.0,2018-08-26,North
1545.0,2018-08-26,South
1668.0,2018-08-26,East
1584.0,2018-08-26,West
1605.0,2018-08-27,North
1740.0,2018-08-27,South
1602.0,2018-08-27,East
1509.0,2018-08-27,West
1656.0,2018-08-28,East
1722.0,2018-08-28,West
1680.0,2018-08-28,South
1566.0,2018-08-28,North
1662.0,2018-08-29,North
1794.0,2018-08-29,South
1734.0,2018-08-29,East
1647.0,2018-08-29,West
1635.0,2018-08-30,North
1743.0,2018-08-30,South
1665.0,2018-08-30,East
1770.0,2018-08-30,West
1602.0,2018-08-31,West
1644.0,2018-08-31,East
1695.0,2018-08-31,South
1749.0,2018-08-31,North
1560.0,2018-09-01,North
1500.0,2018-09-01,South
1719.0,2018-09-01,East
1557.0,2018-09-01,West
1527.0,2018-09-02,North
1653.0,2018-09-02,South
1506.0,2018-09-02,East
1575.0,2018-09-02,West
1650.0,2018-09-03,West
1674.0,2018-09-03,East
1770.0,2018-09-03,South
1749.0,2018-09-03,North
1794.0,2018-09-04,North
1509.0,2018-09-04,South
1785.0,2018-09-04,East
1539.0,2018-09-04,West
1731.0,2018-09-05,North
1617.0,2018-09-05,South
1656.0,2018-09-05,East
1599.0,2018-09-05,West
1650.0,2018-09-06,West
1758.0,2018-09-06,East
1713.0,2018-09-06,North
1506.0,2018-09-06,South
1791.0,2018-09-07,North
1623.0,2018-09-07,South
1776.0,2018-09-07,East
1653.0,2018-09-07,West
1659.0,2018-09-08,North
1755.0,2018-09-08,South
1533.0,2018-09-08,East
1557.0,2018-09-08,West
1614.0,2018-09-09,South
1704.0,2018-09-09,West
1527.0,2018-09-09,North
1638.0,2018-09-09,East
1650.0,2018-09-10,North
1656.0,2018-09-10,South
1782.0,2018-09-10,East
1527.0,2018-09-10,West
1749.0,2018-09-11,East
1578.0,2018-09-11,North
1767.0,2018-09-11,South
1524.0,2018-09-11,West
1533.0,2018-09-12,West
1740.0,2018-09-12,East
1719.0,2018-09-12,North
1695.0,2018-09-12,South
1653.0,2018-09-13,North
1560.0,2018-09-13,South
1677.0,2018-09-13,East
1539.0,2018-09-13,West
1701.0,2018-09-14,West
1713.0,2018-09-14,North
1554.0,2018-09-14,South
1743.0,2018-09-14,East
1746.0,2018-09-15,West
1698.0,2018-09-15,East
1587.0,2018-09-15,North
1512.0,2018-09-15,South
1782.0,2018-09-16,West
1554.0,2018-09-16,North
1554.0,2018-09-16,South
1782.0,2018-09-16,East
1545.0,2018-09-17,East
1722.0,2018-09-17,West
1764.0,2018-09-17,North
1620.0,2018-09-17,South
1692.0,2018-09-18,West
1737.0,2018-09-18,East
1503.0,2018-09-18,North
1530.0,2018-09-18,South
1542.0,2018-09-19,North
1758.0,2018-09-19,South
1779.0,2018-09-19,East
1593.0,2018-09-19,West
1569.0,2018-09-20,West
1686.0,2018-09-20,North
1749.0,2018-09-20,South
1662.0,2018-09-20,East
1590.0,2018-09-21,North
1665.0,2018-09-21,South
1716.0,2018-09-21,East
1704.0,2018-09-21,West
1581.0,2018-09-22,South
1758.0,2018-09-22,East
1632.0,2018-09-22,North
1641.0,2018-09-22,West
1755.0,2018-09-23,West
1728.0,2018-09-23,East
1677.0,2018-09-23,South
1731.0,2018-09-23,North
1611.0,2018-09-24,North
1593.0,2018-09-24,South
1797.0,2018-09-24,East
1560.0,2018-09-24,West
1611.0,2018-09-25,East
1701.0,2018-09-25,West
1530.0,2018-09-25,North
1770.0,2018-09-25,South
1617.0,2018-09-26,North
1515.0,2018-09-26,South
1713.0,2018-09-26,East
1500.0,2018-09-26,West
1587.0,2018-09-27,West
1632.0,2018-09-27,North
1713.0,2018-09-27,South
1743.0,2018-09-27,East
1653.0,2018-09-28,East
1512.0,2018-09-28,West
1749.0,2018-09-28,North
1533.0,2018-09-28,South
1518.0,2018-09-29,North
1623.0,2018-09-29,South
1701.0,2018-09-29,East
1596.0,2018-09-29,West
1746.0,2018-09-30,North
1536.0,2018-09-30,South
1659.0,2018-09-30,East
1524.0,2018-09-30,West
1650.0,2018-10-01,West
1755.0,2018-10-01,East
1632.0,2018-10-01,South
1782.0,2018-10-01,North
1680.0,2018-10-02,North
1701.0,2018-10-02,South
1800.0,2018-10-02,East
1740.0,2018-10-02,West
1764.0,2018-10-03,West
1563.0,2018-10-03,North
1788.0,2018-10-03,South
1536.0,2018-10-03,East
1626.0,2018-10-04,East
1797.0,2018-10-04,West
1512.0,2018-10-04,North
1560.0,2018-10-04,South
1779.0,2018-10-05,North
1683.0,2018-10-05,South
1713.0,2018-10-05,East
1794.0,2018-10-05,West
1584.0,2018-10-06,North
1647.0,2018-10-06,South
1596.0,2018-10-06,East
1515.0,2018-10-06,West
1578.0,2018-10-07,West
1794.0,2018-10-07,East
1533.0,2018-10-07,North
1608.0,2018-10-07,South
1701.0,2018-10-08,North
1617.0,2018-10-08,South
1779.0,2018-10-08,East
1785.0,2018-10-08,West
1680.0,2018-10-09,North
1590.0,2018-10-09,South
1551.0,2018-10-09,East
1587.0,2018-10-09,West
1506.0,2018-10-10,West
1599.0,2018-10-10,East
1701.0,2018-10-10,South
1749.0,2018-10-10,North
1596.0,2018-10-11,North
1800.0,2018-10-11,South
1749.0,2018-10-11,East
1674.0,2018-10-11,West
1656.0,2018-10-12,West
1782.0,2018-10-12,North
1647.0,2018-10-12,South
1542.0,2018-10-12,East
1686.0,2018-10-13,West
1722.0,2018-10-13,East
